Best_dup0,EW_dup0,mayMV_dup0
1.0,1.0,1.0
1.117083,1.05642656,1.0637054646684185
0.8766241817520001,0.7596867345333504,0.7997752543044357
1.1279987957419313,0.9036475226647672,0.926614514306248
1.1053553479162077,0.8426424591391732,0.8806693200153034
1.5434231472702717,1.0880362905042078,1.1227837926410986
1.9751355792163867,1.225920387748354,1.2172759814819984
1.9826450446885675,1.1524837355033557,1.1965847982203128
2.015779008675403,1.1292884790478197,1.1920082344016616
2.4651606546374274,1.2827664173405369,1.2943424029715602
2.476813469051898,1.2344474797960936,1.2839015803274327
2.7939694337639938,1.289929721775529,1.3299156295111785
2.785640610881943,1.187019283363844,1.2300613582482949
3.018369741358686,1.238666777267633,1.2790028804911446
2.7754241792464667,1.001394755494869,1.106240385908642
2.899943585048359,1.0046794104044725,1.0914648743611082
3.23549315733072,1.0906226610215257,1.1912345039480612
3.125120779254697,0.9925927411341089,1.1211938318326027
3.9667720572820135,1.1385251949729025,1.272855499781323
3.770210568299575,1.0060752762848,1.1575668207254202
8.047405121928962,1.4144765642925035,1.454212528339291
8.36199428295541,1.3814739405153682,1.4880812300207988
8.207188682795056,1.2565205619980326,1.4056826453779288
9.332673295621474,1.2915989470489766,1.4720480502477438
9.241801055742007,1.2464250672201072,1.4426055721111881
10.374633303751695,1.2859494553866702,1.4844829366166798
11.342545092458513,1.3180059120384182,1.5543495624203936
13.668526786933704,1.3517783900880176,1.564076145015943
11.031362234243076,0.9762418088181062,1.1600181269407144
13.055473796517635,1.0423333011757472,1.2489834449789472
14.017492494161631,1.0814240937430695,1.3068499275044312
14.760335491397234,1.105035172037472,1.3220909926139812
15.891641405135376,1.146218639461323,1.376780399004061
17.726315513716848,1.216238339372535,1.4286055318649495
19.207012374893132,1.2166669904128633,1.410998373946181
19.66442737460121,1.2042150364328226,1.4196888181288767
19.93693700915843,1.1649563738614748,1.3415623175002418
20.13241867653323,1.1408547312374195,1.3031402904248794
21.178700475152663,1.156131049893824,1.314920220221796
21.07367529949638,1.0881044838990395,1.2230672672839393
21.9139459547132,1.1028408570212016,1.2542008519765868
24.982490064913822,1.1692327588865636,1.3187363899460862
31.932343993582133,1.3220991384002898,1.4405761664621917
32.73394162485303,1.3095411004082462,1.4415286622300831
32.99535488266911,1.2784925094972948,1.4352676924103616
32.89198043582171,1.2079560833000142,1.3590021111435822
33.12554638889648,1.1708381054088581,1.340507890200768
32.003551007158165,1.0709194839961296,1.2636469760486897
43.07063497384152,1.1726657450258688,1.295371436233359
43.34322902259097,1.1480322593195575,1.2802064108730196
43.98657257097328,1.0883998819098506,1.2386848798235706
43.9142586456666,1.0382326579769374,1.1652930205926963
47.53397924305296,1.0570954350242878,1.1949202476185048
50.246981108350205,1.0797073829205357,1.234901634898364
54.94220976405777,1.131575273135474,1.284345187578724
58.16242762053896,1.160205711751184,1.3204396045656142
63.43781796814946,1.2064426938581767,1.3526218406773247
75.85075924779522,1.324698061937032,1.4400344931363545
82.40161007023106,1.304430128601473,1.419838138404519
88.08690915702664,1.3496462162756477,1.4563297942783333
116.80746971385688,1.5457247620667252,1.637682142021822
148.1992435845165,1.7222525891358125,1.82045861579519
179.15776917083483,1.9155635931684942,2.037891209125202
205.34723102599662,1.9775338377260008,2.1048174072804935
238.8284810030923,2.145417284791931,2.3198614803383326
246.74062975024373,2.1635863946933767,2.36672913509628
242.36221727532566,2.0237461901802343,2.2454808886460973
248.39703648548127,2.0273335636267955,2.2288026025392726
269.43477509358263,2.0993810249043072,2.295952037841414
280.49210882864816,2.0921832550728023,2.3198367416622716
268.51172987635897,1.9126033833681948,2.1301291691203645
310.8093086368623,2.088078929477941,2.341116090622821
339.17842828269187,2.1783839164505316,2.4546649657921313
359.60918008872807,2.215607182325915,2.46247985546913
